2026-07-01 21:38:50,212 | WARNING | TELEGRAM_TOKEN não configurado.
2026-07-01 21:38:50,213 | INFO | Telegram iniciado.
2026-07-01 21:38:50,378 | WARNING | DISCORD_TOKEN não configurado.
2026-07-01 21:38:50,378 | INFO | Discord iniciado.
2026-07-01 21:38:50,410 | INFO | Telegram registrado no Notifier.
2026-07-01 21:38:50,412 | INFO | Discord registrado no Notifier.
2026-07-01 21:38:50,414 | INFO | Collector registrado: AVIATOR
2026-07-01 21:38:50,422 | INFO | Collector registrado: MINES
2026-07-01 21:38:50,430 | INFO | Tarefa registrada: heartbeat
2026-07-01 21:38:50,443 | INFO | Tarefa registrada: collector
2026-07-01 21:38:50,455 | INFO | Loop do Scheduler iniciado.
2026-07-01 21:38:50,455 | INFO | Scheduler iniciado.
2026-07-01 21:38:50,461 | INFO | LuxuryBET Online
2026-07-01 21:38:50,463 | INFO | [NOTIFIER] LuxuryBET
2026-07-01 21:38:50,477 | INFO | Executando coletores...
2026-07-01 21:38:50,482 | INFO | Mensagem preparada para Telegram.
2026-07-01 21:38:50,501 | INFO | [AVIATOR] Executando coleta...
2026-07-01 21:38:50,512 | INFO | Mensagem preparada para Discord.
2026-07-01 21:38:50,514 | INFO | [MINES] Executando coleta...
2026-07-01 21:38:50,523 | INFO | Sistema iniciado.
2026-07-01 21:38:50,563 | INFO | ============================================================
2026-07-01 21:38:50,576 | INFO | Coleta salva no banco.
2026-07-01 21:38:55,576 | INFO | Executando coletores...
2026-07-01 21:38:55,585 | INFO | [AVIATOR] Executando coleta...
2026-07-01 21:38:55,604 | INFO | [MINES] Executando coleta...
2026-07-01 21:38:55,630 | INFO | Coleta salva no banco.
2026-07-01 21:39:00,541 | INFO | LuxuryBET Online
2026-07-01 21:39:00,755 | INFO | Executando coletores...
2026-07-01 21:39:00,765 | INFO | [AVIATOR] Executando coleta...
2026-07-01 21:39:00,768 | INFO | [MINES] Executando coleta...
